
Tarih	Hft	T1	T2	T3	T4	T5	T6	Joker	Super
21/05/2025	61	16	34	41	63	71	82	59	67
19/05/2025	60	6	22	58	84	87	90	62	72
17/05/2025	59	22	25	37	40	80	88	27	80
14/05/2025	58	5	11	21	29	45	72	3	72
12/05/2025	57	24	30	58	79	87	90	67	66
10/05/2025	56	6	29	32	60	62	72	44	27
07/05/2025	55	10	27	33	49	50	61	74	73
05/05/2025	54	8	25	33	42	50	51	81	16
03/05/2025	53	5	11	15	30	66	86	37	13
30/04/2025	52	1	10	56	66	67	78	14	27
28/04/2025	51	15	34	53	63	64	88	28	46
26/04/2025	50	1	5	18	33	47	56	85	66
23/04/2025	49	33	41	66	74	80	81	85	45
21/04/2025	48	13	31	37	42	77	80	79	33
19/04/2025	47	31	43	52	53	63	66	2	2
16/04/2025	46	11	18	40	43	59	88	49	68
14/04/2025	45	38	40	41	45	49	69	43	50
12/04/2025	44	11	26	35	48	53	57	51	51
09/04/2025	43	12	14	15	66	76	77	13	88
07/04/2025	42	1	9	13	20	66	79	45	75
05/04/2025	41	8	38	53	75	84	90	31	30
02/04/2025	40	19	20	36	48	53	66	77	71
31/03/2025	39	3	18	19	23	27	87	29	23
29/03/2025	38	27	45	59	67	79	84	77	24
26/03/2025	37	5	9	29	30	31	63	35	38
24/03/2025	36	8	18	21	41	43	73	59	66
22/03/2025	35	11	12	33	47	49	70	63	17
19/03/2025	34	13	39	59	70	73	80	31	45
17/03/2025	33	7	28	30	59	62	77	74	28
15/03/2025	32	15	18	24	29	61	75	82	24
12/03/2025	31	37	47	57	62	75	90	87	31
10/03/2025	30	2	9	28	43	59	61	74	56
08/03/2025	29	7	31	37	65	79	87	90	41
05/03/2025	28	30	32	48	65	82	85	64	14
03/03/2025	27	2	8	18	27	67	87	55	82
01/03/2025	26	38	42	62	66	75	77	78	61
26/02/2025	25	10	52	65	73	87	88	45	42
24/02/2025	24	1	23	40	43	53	59	37	71
22/02/2025	23	1	5	29	36	54	57	35	4
19/02/2025	22	26	42	69	70	74	88	45	66
17/02/2025	21	10	40	46	47	57	72	5	44
15/02/2025	20	1	9	32	48	56	58	55	11
12/02/2025	19	2	20	34	46	55	60	71	39
10/02/2025	18	13	31	34	64	69	88	17	34
08/02/2025	17	6	7	25	48	78	89	40	23
05/02/2025	16	37	38	41	64	76	80	21	21
03/02/2025	15	11	29	33	51	56	86	23	89
01/02/2025	14	4	38	56	61	68	70	76	20
29/01/2025	13	17	29	50	71	76	89	80	12
27/01/2025	12	1	2	14	34	54	56	77	34
25/01/2025	11	1	18	46	54	70	88	62	24
22/01/2025	10	2	20	28	44	57	88	24	47
20/01/2025	9	13	25	30	33	82	86	63	21
18/01/2025	8	1	24	31	32	40	81	3	53
15/01/2025	7	47	59	64	68	74	82	65	63
13/01/2025	6	14	28	42	54	64	89	76	72
